,L2_Ls_Rs_0,L2_Ls_Rs_1,L2_Re_Rs_0,L2_Re_Rs_1,L2_Le_Ls_0,L2_Le_Ls_1,L2_Rw_Re_0,L2_Rw_Re_1,L2_Lw_Le_0,L2_Lw_Le_1,L2_Rh_Rs_0,L2_Rh_Rs_1,L2_Lh_Ls_0,L2_Lh_Ls_1,L2_Lh_Rh_0,L2_Lh_Rh_1,L2_Rk_Rh_0,L2_Rk_Rh_1,L2_Lk_Lh_0,L2_Lk_Lh_1,L2_Ra_Rk_0,L2_Ra_Rk_1,L2_La_Lk_0,L2_La_Lk_1
457,-0.98935914,0.14549399,None,None,-0.33384714,0.94262723,None,None,0.3939193,0.91914503,-0.25611964,-0.96664509,-0.02458273,-0.9996978,-0.99227788,0.12403473,0.2216211,-0.97513286,-0.13979028,-0.99018113,-0.11043153,-0.99388373,-0.46173528,-0.88701777
458,-0.98935914,0.14549399,None,None,-0.54325128,0.83957016,None,None,0.43842363,0.89876845,-0.23656716,-0.97161514,-0.02499219,-0.99968765,-0.99330738,0.11550086,0.18498655,-0.98274105,-0.17238033,-0.98503047,-0.11179477,-0.99373132,-0.46349753,-0.88609821
459,-0.99730763,0.07333144,None,None,-0.94221469,0.33500967,None,None,0.94174191,0.3363364,-0.22052119,-0.97538218,-0.0085467,-0.99996348,-0.9975751,0.06959826,0.18928616,-0.98192197,-0.20540151,-0.97867779,-0.13791003,-0.99044476,-0.33035042,-0.94385836
460,-0.99960349,-0.02815784,None,None,-0.95667388,-0.29116162,None,None,0.99975318,-0.02221674,-0.20115934,-0.97955853,0.04582337,-0.99894956,-0.99972969,0.02324953,0.19611614,-0.98058068,-0.23956771,-0.97087966,-0.18116243,-0.98345319,-0.07124705,-0.9974587
461,-0.95519537,-0.29597603,None,None,-0.83799808,-0.54567317,None,None,0.9146866,-0.40416385,-0.13003404,-0.99150953,0.10934048,-0.99400436,0.0,0.0,0.23984733,-0.97081062,-0.23107243,-0.97293655,-0.29408585,-0.95577901,0.17134117,-0.98521175
462,-0.93027293,-0.3668682,None,None,-0.61257167,-0.79041505,None,None,0.96866387,-0.24837535,-0.04197977,-0.99911846,0.24493622,-0.96953919,-0.99549547,-0.09480909,0.33089627,-0.94366713,-0.2195122,-0.97560976,-0.14365564,-0.98962774,0.21055608,-0.97758178
463,-0.91323125,-0.40744163,0.88235294,-0.47058824,-0.52830189,-0.8490566,None,None,0.96707454,-0.2544933,0.0706197,-0.99750331,0.33500967,-0.94221469,-0.98946106,-0.14479918,0.35812186,-0.93367485,-0.2544933,-0.96707454,0.25371269,-0.96727962,0.23227468,-0.97265023
464,-0.91192151,-0.41036468,0.87524154,-0.48368611,-0.4472136,-0.89442719,None,None,0.99634665,-0.08540114,0.15835379,-0.98738244,0.38758864,-0.92183244,-0.97560976,-0.2195122,0.25850938,-0.96600875,-0.28855096,-0.95746454,0.50213552,-0.86478895,0.2728241,-0.96206393
465,-0.89442719,-0.4472136,0.84029665,-0.54212687,-0.41216787,-0.91110792,None,None,0.98994949,-0.14142136,0.24466722,-0.96960711,0.42232149,-0.90644612,-0.98345319,-0.18116243,0.1490028,-0.98883677,-0.35260923,-0.93577066,0.57106449,-0.8209052,0.25589256,-0.96670523
466,-0.91707006,-0.39872611,0.67267279,-0.73994007,-0.32432432,-0.94594595,None,None,0.85165832,-0.52409743,0.27827603,-0.96050115,0.41158672,-0.9113706,-0.98562225,-0.16896382,0.05471245,-0.99850215,-0.41380294,-0.91036648,0.62752528,-0.77859618,0.29116162,-0.95667388
