,L2_Ls_Rs_0,L2_Ls_Rs_1,L2_Re_Rs_0,L2_Re_Rs_1,L2_Le_Ls_0,L2_Le_Ls_1,L2_Rw_Re_0,L2_Rw_Re_1,L2_Lw_Le_0,L2_Lw_Le_1,L2_Rh_Rs_0,L2_Rh_Rs_1,L2_Lh_Ls_0,L2_Lh_Ls_1,L2_Lh_Rh_0,L2_Lh_Rh_1,L2_Rk_Rh_0,L2_Rk_Rh_1,L2_Lk_Lh_0,L2_Lk_Lh_1,L2_Ra_Rk_0,L2_Ra_Rk_1,L2_La_Lk_0,L2_La_Lk_1
399,-0.33559036,-0.94200802,0.5207592,0.85370361,0.02458273,-0.9996978,0.38209016,0.92412505,-0.11248902,-0.99365297,0.75306754,-0.65794322,0.9733358,-0.22938487,-0.94548457,-0.32566691,0.34752791,-0.93766964,-0.74914706,-0.66240372,0.47409982,-0.8804711,0.05609133,-0.99842564
400,-0.33219945,-0.94320916,0.52315553,0.85223723,0.01639124,-0.99986565,0.38209016,0.92412505,-0.11354659,-0.99353267,0.75503312,-0.65568666,0.9733358,-0.22938487,-0.94435356,-0.32893214,0.35327334,-0.93552015,-0.75257669,-0.65850461,0.46970682,-0.88282246,0.05609133,-0.99842564
401,-0.33406799,-0.94254898,0.52315553,0.85223723,0.00819645,-0.99996641,0.37446305,0.92724184,-0.10321929,-0.99465862,0.75869554,-0.65144538,0.97365908,-0.22800877,-0.94435356,-0.32893214,0.34899774,-0.93712357,-0.7669368,-0.64172263,0.46762568,-0.88392659,0.06099732,-0.99813793
402,-0.32875245,-0.94441613,0.52693967,0.84990269,0.00819645,-0.99996641,0.36983492,0.92909748,-0.09480909,-0.99549547,0.75646854,-0.65403009,0.97365908,-0.22800877,-0.95079827,-0.30981067,0.35465423,-0.93499753,-0.77079382,-0.63708468,0.47238127,-0.88139432,0.06099732,-0.99813793
403,-0.33406799,-0.94254898,0.53303766,0.84609152,0.02458273,-0.9996978,0.36200948,0.93217441,-0.08381618,-0.99648123,0.75620597,-0.65433366,0.97293655,-0.23107243,-0.95079827,-0.30981067,0.35327334,-0.93552015,-0.80093216,-0.59875511,0.47683828,-0.87899104,0.08805442,-0.99611567
404,-0.34653586,-0.93803673,0.52693967,0.84990269,0.04061686,-0.99917479,0.35410675,0.93520501,-0.08381618,-0.99648123,0.75620597,-0.65433366,0.97189197,-0.23542725,-0.95180824,-0.30669377,0.34967696,-0.93687034,-0.80466294,-0.59373188,0.47925664,-0.87767481,0.08853979,-0.99607264
405,-0.35177676,-0.93608392,0.5207592,0.85370361,0.04872255,-0.99881235,0.34910902,0.93708211,-0.08154569,-0.9966696,0.75257669,-0.65850461,0.96907101,-0.24678206,-0.9486833,-0.31622777,0.35327334,-0.93552015,-0.81213213,-0.58347357,0.48415641,-0.87498147,0.09402603,-0.99556974
406,-0.35501094,-0.93486215,0.52693967,0.84990269,0.05681863,-0.99838452,0.34100296,0.94006222,-0.07124705,-0.9974587,0.75233517,-0.65878054,0.97118483,-0.23832757,-0.95180824,-0.30669377,0.34967696,-0.93687034,-0.81109033,-0.58492091,0.48860337,-0.87250602,0.09454663,-0.99552043
407,-0.36215974,-0.93211605,0.52315553,0.85223723,0.06490352,-0.99789154,0.34100296,0.94006222,-0.0760503,-0.99710398,0.75426888,-0.65656566,0.97118483,-0.23832757,-0.95278817,-0.30363579,0.35185086,-0.93605607,-0.80739112,-0.59001659,0.48415641,-0.87498147,0.09507301,-0.9954703
408,-0.36215974,-0.93211605,0.52315553,0.85223723,0.05681863,-0.99838452,0.33807229,0.94112015,-0.11043153,-0.99388373,0.75257669,-0.65850461,0.97049605,-0.24111703,-0.95373921,-0.30063519,0.35185086,-0.93605607,-0.80093216,-0.59875511,0.48663824,-0.87360359,0.1011731,-0.99486884
409,-0.36215974,-0.93211605,0.52315553,0.85223723,0.05636188,-0.99841041,0.35410675,0.93520501,-0.12716432,-0.99188166,0.75086947,-0.66045063,0.96832484,-0.24969383,-0.95170862,-0.30700278,0.35185086,-0.93605607,-0.79145731,-0.61122445,0.48860337,-0.87250602,0.10174202,-0.99481082
410,-0.36215974,-0.93211605,0.52315553,0.85223723,0.06438228,-0.99792531,0.35897908,0.93334561,-0.00826418,-0.99996585,0.75086947,-0.66045063,0.96832484,-0.24969383,-0.95170862,-0.30700278,0.35185086,-0.93605607,-0.79348235,-0.60859326,0.48860337,-0.87250602,0.10793712,-0.99415772
411,-0.36215974,-0.93211605,0.5194153,0.85452194,0.07239022,-0.99737639,0.36200948,0.93217441,0.03331483,-0.99944491,0.74892172,-0.66265848,0.9687012,-0.24822968,-0.95373921,-0.30063519,0.34818653,-0.93742527,-0.79543172,-0.60604322,0.49301257,-0.87002219,0.11419067,-0.99345885
412,-0.36417424,-0.93133084,0.5194153,0.85452194,0.07974522,-0.99681528,0.36200948,0.93217441,0.02499219,-0.99968765,0.74719231,-0.6646079,0.96723097,-0.25389813,-0.95278817,-0.30363579,0.35405003,-0.93522649,-0.79543172,-0.60604322,0.49301257,-0.87002219,0.11484205,-0.99338376
413,-0.36620953,-0.93053242,0.5194153,0.85452194,0.07124705,-0.9974587,0.38963999,0.92096725,0.01666435,-0.99986114,0.74719231,-0.6646079,0.96532205,-0.26106194,-0.95373921,-0.30063519,0.35185086,-0.93605607,-0.78894357,-0.61446566,0.49301257,-0.87002219,0.11550086,-0.99330738
